review,sentiment
This product is amazing,positive
Excellent quality and performance,positive
Highly recommended,positive
Very poor quality,negative
Waste of money,negative
Terrible experience,negative
Average product,neutral
Works as expected,neutral
Okay for the price,neutral
Fantastic purchase,positive
Bad packaging,negative
Good value for money,positive
This product is not good,negative
Poor performance,negative
Not recommended,negative
Very disappointing,negative
Bad experience,negative
Not good,negative
Not bad,positive
Amazing product,positive
Excellent purchase,positive
Very happy with this product,positive
Best product I have used,positive
Great quality,positive
Worth every penny,positive
Loved it,positive
Outstanding performance,positive
Highly satisfied,positive
Superb quality,positive
Worst purchase ever,negative
Very bad product,negative
Poor quality material,negative
Completely useless,negative
Not worth buying,negative
Terrible quality,negative
Extremely disappointed,negative
